id,siteID,year,first_ice,freezeup,unsafe_boat,safe_man,safe_veh,type_veh,remarks,,
44,1,1961,10/11/1961,\N,\N,11/24/1961,11/28/1961,dog team,,,
45,1,1964,9/18/1964,\N,\N,10/1/1964,10/5/1964,snowmachine,,,
46,1,1967,10/14/1967,\N,\N,10/25/1967,10/29/1967,,,,
47,1,1968,11/5/1968,\N,\N,12/3/1968,\N,,,,
48,1,1969,10/1/1969,\N,\N,10/15/1969,10/21/1969,,,,
49,1,1970,9/1/1970,\N,\N,9/15/1970,9/15/1970,,,,
50,1,1971,9/20/1971,\N,\N,10/10/1971,10/4/1971,,,,
51,1,1972,10/6/1972,\N,\N,11/20/1972,11/20/1972,,,,
52,1,1973,10/29/1973,\N,\N,11/28/1973,12/8/1973,,,,
53,1,1974,10/3/1974,\N,\N,10/10/1974,10/10/1974,,,,
54,1,1975,9/2/1975,\N,10/8/1975,9/10/1975,10/8/1975,snowmachine,,,
55,1,1978,10/14/1978,\N,10/29/1978,\N,\N,,,,
56,1,1979,10/5/1979,\N,10/15/1979,11/10/1979,11/25/1979,,,,
57,1,1980,10/5/1980,\N,11/10/1980,10/12/1980,10/25/1980,pickup,,,
58,1,1982,10/7/1982,\N,10/15/1982,10/18/1982,10/20/1982,,,,
59,498,1983,10/25/1983,\N,10/26/1983,10/31/1983,10/31/1983,,,,
60,498,1984,10/14/1984,\N,10/19/1984,10/29/1984,11/5/1984,snowmachine,,,
61,498,1986,10/25/1986,\N,10/25/1986,11/19/1986,11/20/1986,snowmachine,,,
62,498,1992,10/9/1992,\N,10/12/1992,10/20/1992,11/1/1992,plane,,,
63,498,1993,11/4/1993,\N,11/5/1993,11/16/1993,11/20/1993,plane,,,
64,498,1995,10/29/1995,\N,11/2/1995,11/8/1995,11/8/1995,plane,,,
65,498,2001,10/20/2001,\N,10/20/2001,10/23/2001,10/30/2001,snowmachine,,,
66,402,1972,9/30/1972,\N,\N,10/15/1972,10/30/1972,,,,
67,402,1974,10/2/1974,\N,\N,10/7/1974,10/12/1974,snowmachine,,,
68,402,1975,10/9/1975,\N,\N,\N,\N,,,,
69,402,1977,10/11/1977,\N,\N,10/13/1977,10/18/1977,snowmachine,,,
70,402,1978,10/3/1978,\N,10/4/1978,10/10/1978,10/18/1978,snowmachine,,,
71,402,1982,10/12/1982,\N,10/8/1982,10/14/1982,10/14/1982,snowmachine,,,
72,14,1983,10/1/1983,\N,10/3/1983,10/21/1983,10/23/1983,snowmachine,,,
73,14,1996,7/23/1996,\N,10/5/1996,10/9/1996,10/18/1996,snowmachine,,,
74,120,1973,10/23/1973,\N,10/15/1973,11/5/1973,12/2/1973,car,,,
75,120,1974,10/1/1974,\N,10/1/1974,11/16/1974,11/24/1974,snowmachine,,,
76,120,1975,10/19/1975,\N,10/26/1975,10/31/1975,11/15/1975,motorcycle,,,
77,405,1937,\N,\N,\N,9/30/1937,\N,,,,
78,405,1943,\N,\N,\N,10/28/1943,\N,,,,
79,405,1944,\N,\N,\N,10/27/1944,\N,,,,
80,405,1945,\N,\N,\N,10/19/1945,\N,,,,
81,405,1959,10/1/1959,\N,\N,10/10/1959,10/26/1959,plane,,,
82,405,1964,\N,\N,\N,10/30/1964,\N,,,,
83,405,1973,10/5/1973,\N,10/5/1973,\N,\N,,,,
84,405,1979,\N,\N,10/10/1979,\N,\N,,,,
85,405,1980,9/20/1980,\N,10/15/1980,10/30/1980,10/30/1980,,,,
86,405,1981,10/14/1981,\N,\N,10/31/1981,11/11/1981,snowmachine,,,
87,405,1982,10/8/1982,\N,9/20/1982,10/25/1982,10/30/1982,snowmachine,,,
88,339,1954,10/28/1954,\N,\N,11/15/1954,12/26/1954,,,,
89,339,1955,10/23/1955,\N,\N,\N,12/21/1955,,,,
90,339,1956,10/20/1956,\N,\N,11/20/1956,12/19/1956,,,,
91,339,1957,11/20/1957,\N,\N,12/15/1957,\N,,,,
92,339,1959,10/14/1959,\N,\N,1/15/1959,\N,,,,
93,339,1963,\N,\N,\N,11/3/1963,\N,,,,
94,339,1990,10/19/1990,\N,\N,10/9/1990,\N,,,,
95,341,1996,10/2/1996,\N,10/5/1996,10/20/1996,10/29/1996,pickup,,,
96,341,1997,10/2/1997,\N,10/12/1997,10/25/1997,10/31/1997,snowmachine,,,
97,341,1998,10/3/1998,\N,10/10/1998,11/4/1998,11/12/1998,snowmachine,,,
98,341,2000,9/16/2000,\N,10/12/2000,11/4/2000,11/16/2000,snowmachine,,,
99,341,2001,10/12/2001,\N,10/16/2001,11/8/2001,11/15/2001,snowmachine,,,
100,341,2002,10/11/2002,\N,11/9/2002,11/18/2002,12/1/2002,snowmachine,,,
101,342,1954,10/28/1954,\N,\N,11/15/1954,12/26/1954,,,,
102,342,1955,10/26/1955,\N,\N,\N,12/21/1955,,,,
103,342,1956,10/20/1956,\N,\N,11/20/1956,12/19/1956,,,,
104,342,1957,11/20/1957,\N,\N,12/15/1957,\N,,,,
105,342,1959,10/14/1959,\N,\N,1/15/1959,\N,,,,
106,342,1963,10/24/1963,\N,\N,11/3/1963,\N,,,,
107,342,1990,10/19/1990,\N,\N,\N,\N,,,,
108,342,1991,10/9/1991,\N,\N,\N,\N,,,,
109,342,1997,10/10/1997,\N,10/13/1997,10/18/1997,\N,,,,
110,342,1998,9/30/1998,\N,10/29/1998,10/29/1998,10/29/1998,snowmachine,,,
111,342,1999,9/29/1999,\N,11/15/1999,\N,\N,snowmachine,,,
112,342,2000,9/29/2000,\N,10/20/2000,11/28/2000,12/10/2000,snowmachine,,,
113,342,2001,10/14/2001,\N,10/15/2001,11/10/2001,12/1/2001,snowmachine,,,
114,499,1989,11/11/1989,\N,11/11/1989,11/20/1989,\N,,,,
115,499,1993,11/11/1993,\N,11/22/1993,12/26/1993,12/31/1993,snowmachine,,,
116,499,1994,11/7/1994,\N,11/14/1994,11/29/1994,12/8/1994,snowmachine,,,
117,499,1995,11/8/1995,\N,11/12/1995,12/1/1995,12/7/1995,snowmachine,,,
118,499,1997,11/21/1997,\N,11/21/1997,11/25/1997,11/25/1997,snowmachine,,,
119,499,1998,10/27/1998,\N,11/12/1998,12/1/1998,12/10/1998,snowmachine,,,
120,499,1999,10/10/1999,\N,11/8/1999,11/25/1999,12/3/1999,snowmachine,,,
121,499,2000,11/26/2000,\N,10/24/2000,12/13/2000,12/18/2000,snowmachine,,,
122,499,2001,11/8/2001,\N,10/15/2001,11/15/2001,11/26/2001,snowmachine,,,
123,345,1947,10/19/1947,\N,\N,10/29/1947,\N,,,,
124,345,1952,9/30/1952,\N,\N,11/15/1952,11/26/1952,,,,
125,346,1917,\N,\N,\N,\N,\N,,,,
126,346,1918,\N,\N,\N,\N,\N,,,,
127,346,1924,\N,\N,\N,10/24/1924,\N,,,,
128,346,1930,\N,\N,\N,10/24/1930,\N,,,,
129,346,1931,\N,\N,\N,10/20/1931,\N,,,,
130,346,1932,\N,\N,\N,10/31/1932,\N,,,,
131,346,1934,\N,\N,\N,10/26/1934,\N,,,,
132,346,1935,\N,\N,\N,10/21/1935,\N,,,,
133,346,1936,\N,\N,\N,11/8/1936,\N,,,,
134,346,1937,\N,\N,\N,10/30/1937,\N,,,,
135,346,1938,\N,\N,\N,11/1/1938,\N,,,,
136,346,1939,\N,\N,\N,10/10/1939,\N,,,,
137,346,1940,\N,\N,\N,10/19/1940,\N,,,,
138,346,1941,\N,\N,\N,10/12/1941,\N,,,,
139,346,1942,\N,\N,\N,11/1/1942,\N,,,,
140,346,1943,\N,\N,\N,10/30/1943,\N,,,,
141,346,1944,\N,\N,\N,11/2/1944,\N,,,,
142,346,1947,\N,\N,\N,10/19/1947,\N,,,,
143,346,1948,\N,\N,\N,10/25/1948,\N,,,,
144,346,1950,10/9/1950,\N,\N,11/9/1950,11/23/1950,,,,
145,346,1951,\N,\N,\N,11/15/1951,11/28/1951,,,,
146,346,1952,10/1/1952,\N,\N,11/28/1952,12/5/1952,,,,
147,346,1954,10/12/1954,\N,\N,11/20/1954,\N,,,,
148,346,1955,10/11/1955,\N,\N,10/17/1955,\N,,,,
149,346,1958,10/4/1958,\N,\N,10/17/1958,\N,,,,
150,346,1959,10/16/1959,\N,\N,\N,\N,,,,
151,346,1970,10/2/1970,\N,11/20/1970,11/7/1970,11/20/1970,,,,
152,346,1971,10/6/1971,\N,10/8/1971,10/11/1971,10/30/1971,,,,
153,346,1972,9/21/1972,\N,10/23/1972,12/28/1972,1/14/1972,,,,
154,346,1973,10/11/1973,\N,11/7/1973,10/15/1973,\N,,,,
155,346,1974,10/3/1974,\N,10/8/1974,11/21/1974,\N,,,,
156,346,1975,10/18/1975,\N,10/25/1975,11/3/1975,11/8/1975,,,,
157,346,1977,10/14/1977,\N,10/18/1977,11/4/1977,11/1/1977,,,,
158,346,1978,10/1/1978,\N,10/10/1978,10/30/1978,10/30/1978,snowmachine,,,
159,346,1983,9/25/1983,\N,10/19/1983,11/11/1983,11/13/1983,snowmachine,,,
160,346,1985,10/15/1985,\N,10/20/1985,10/27/1985,11/19/1985,,,,
161,346,1986,10/6/1986,\N,10/19/1986,11/6/1986,11/12/1986,snowmachine,,,
162,346,1987,10/28/1987,\N,10/29/1987,11/5/1987,11/16/1987,snowmachine,,,
163,346,1988,9/30/1988,\N,10/12/1988,10/19/1988,10/20/1988,snowmachine,,,
164,346,1989,10/13/1989,\N,10/21/1989,11/6/1989,11/7/1989,snowmachine,,,
165,346,1990,10/14/1990,\N,10/16/1990,11/6/1990,11/10/1990,snowmachine,,,
166,346,1991,10/11/1991,\N,10/12/1991,11/15/1991,11/18/1991,car,,,
167,346,1992,9/22/1992,\N,10/17/1992,10/31/1992,11/13/1992,pickup,,,
168,346,1993,10/20/1993,\N,10/20/1993,11/28/1993,12/5/1993,pickup,,,
169,346,1994,10/10/1994,\N,10/17/1994,10/30/1994,11/15/1994,pickup,,,
170,346,1997,10/11/1997,\N,10/14/1997,10/31/1997,11/6/1997,pickup,,,
171,126,1974,10/31/1974,\N,12/18/1974,12/21/1974,\N,,,,
172,214,1998,11/21/1998,\N,11/28/1998,\N,\N,,,,
173,349,1960,10/10/1960,\N,\N,\N,\N,,,,
174,349,1961,10/6/1961,\N,\N,10/15/1961,\N,,,,
175,349,1962,10/1/1962,\N,\N,10/15/1962,\N,,,,
176,349,1963,11/12/1963,\N,\N,11/21/1963,\N,,,,
177,349,1964,11/10/1964,\N,\N,11/23/1964,\N,,,,
178,349,1966,10/10/1966,\N,\N,11/15/1966,\N,,,,
179,349,1968,10/30/1968,\N,\N,11/21/1968,\N,,,,
180,349,1969,10/22/1969,\N,\N,11/16/1969,\N,,,,
181,349,1970,10/22/1970,\N,\N,12/10/1970,\N,,,,
182,349,1972,11/10/1972,\N,\N,12/20/1972,\N,,,,
183,349,1973,9/28/1973,\N,\N,11/23/1973,\N,,,,
184,349,1974,10/6/1974,\N,\N,11/1/1974,\N,,,,
185,349,1975,10/19/1975,\N,10/24/1975,\N,\N,,,,
186,349,1981,10/31/1981,\N,10/15/1981,11/15/1981,11/25/1981,,,,
187,349,1982,10/5/1982,\N,10/17/1982,\N,\N,,,,
188,349,1984,10/19/1984,\N,10/23/1984,11/4/1984,\N,,,,
189,349,1986,\N,\N,\N,11/10/1986,11/15/1986,,,,
190,349,1987,10/27/1987,\N,10/20/1987,11/7/1987,\N,,,,
191,349,1988,10/5/1988,\N,10/15/1988,\N,\N,,,,
192,349,1990,10/6/1990,\N,10/12/1990,10/24/1990,11/3/1990,,,,
193,349,1994,10/10/1994,\N,10/15/1994,11/6/1994,11/16/1994,,,,
194,349,1998,9/25/1998,\N,9/25/1998,11/15/1998,11/20/1998,snowmachine,,,
195,349,2001,10/5/2001,\N,10/25/2001,11/8/2001,11/8/2001,snowmachine,,,
196,349,2002,10/19/2002,\N,10/23/2002,\N,\N,,,,
197,81,1981,11/13/1981,\N,11/16/1981,2/12/1981,2/12/1981,snowmachine,,,
198,81,1982,10/5/1982,\N,5/4/1982,2/26/1982,\N,,,,
199,17,1997,9/26/1997,\N,10/2/1997,10/10/1997,10/14/1997,snowmachine,,,
200,17,1999,9/26/1999,\N,9/29/1999,10/5/1999,10/8/1999,snowmachine,,,
201,17,2000,9/25/2000,\N,9/26/2000,10/6/2000,10/10/2000,snowmachine,,,
202,83,1938,\N,\N,\N,11/18/1938,\N,,,,
203,83,1939,\N,\N,\N,11/2/1939,\N,,,,
204,83,1940,\N,\N,\N,11/18/1940,\N,,,,
205,83,1941,\N,\N,\N,11/6/1941,\N,,,,
206,83,1942,\N,\N,\N,11/20/1942,\N,,,,
207,83,1943,\N,\N,\N,11/8/1943,\N,,,,
208,83,1944,\N,\N,\N,11/9/1944,\N,,,,
209,83,1945,\N,\N,\N,10/28/1945,\N,,,,
210,83,1947,\N,\N,\N,12/18/1947,\N,,,,
211,83,1948,11/7/1948,\N,\N,11/18/1948,\N,,,,
212,83,1949,11/5/1949,\N,\N,11/15/1949,11/15/1949,,,,
213,83,1950,10/15/1950,\N,\N,11/1/1950,11/15/1950,,,,
214,83,1951,10/10/1951,\N,\N,11/25/1951,11/30/1951,,,,
215,83,1952,10/12/1952,\N,\N,12/1/1952,12/10/1952,,,,
216,83,1955,10/27/1955,\N,\N,10/31/1955,11/9/1955,,,,
217,83,1957,10/3/1957,\N,\N,\N,\N,,,,
218,83,1958,10/3/1958,\N,\N,\N,\N,,,,
219,83,1959,10/21/1959,\N,\N,\N,\N,,,,
220,83,1963,10/21/1963,\N,\N,12/2/1963,12/15/1963,pickup,,,
221,83,1964,10/26/1964,\N,\N,\N,12/1/1964,pickup,,,
222,83,1968,11/3/1968,\N,\N,\N,11/16/1968,,,,
223,83,1969,11/10/1969,\N,\N,\N,11/22/1969,,,,
224,85,1937,\N,\N,\N,11/20/1937,\N,,,,
225,85,1938,\N,\N,\N,12/4/1938,\N,,,,
226,85,1972,10/16/1972,\N,\N,11/28/1972,12/10/1972,,,,
227,85,1973,10/16/1973,\N,\N,11/14/1973,12/18/1973,,,,
228,85,1974,10/25/1974,\N,11/15/1974,12/18/1974,1/8/1974,pickup,,,
229,85,1979,10/16/1979,\N,11/28/1979,12/10/1979,12/20/1979,snowmachine,,,
230,130,1993,10/3/1993,\N,10/20/1993,12/1/1993,12/1/1993,snowmachine,,,
231,130,1994,10/10/1994,\N,10/30/1994,11/5/1994,11/25/1994,pick-up,,,
232,130,1995,11/3/1995,\N,11/7/1995,11/26/1995,12/1/1995,snowmachine,,,
233,350,1997,10/10/1997,\N,10/10/1997,\N,\N,,,,
234,350,1998,9/29/1998,\N,\N,10/25/1998,10/25/1998,truck,,,
235,350,1999,9/28/1999,\N,\N,11/10/1999,11/20/1999,truck,,,
236,350,2000,10/1/2000,\N,\N,11/20/2000,11/20/2000,truck,,,
237,350,2001,10/15/2001,\N,10/17/2001,10/31/2001,11/6/2001,snowmachine,,,
238,350,2002,10/6/2002,\N,\N,11/16/2002,11/28/2002,truck,,,
239,244,1961,11/1/1961,\N,\N,\N,\N,,,,
240,244,1963,10/10/1963,\N,\N,10/24/1963,11/11/1963,dog team,,,
241,244,1964,10/17/1964,\N,\N,10/29/1964,10/29/1964,,,,
242,244,1967,10/17/1967,\N,\N,10/18/1967,10/20/1967,,,,
243,244,1968,10/16/1968,\N,\N,11/5/1968,11/6/1968,,,,
244,244,1969,10/20/1969,\N,\N,11/15/1969,\N,,,,
245,244,1970,10/1/1970,\N,\N,11/1/1970,\N,,,,
246,244,1971,10/2/1971,\N,11/7/1971,11/7/1971,11/9/1971,,,,
247,244,1973,10/12/1973,\N,10/25/1973,11/14/1973,11/21/1973,,,,
248,244,1974,10/8/1974,\N,10/10/1974,10/26/1974,10/26/1974,,,,
249,244,1975,10/14/1975,\N,10/28/1975,10/29/1975,11/7/1975,snowmachine,,,
250,131,1971,10/17/1971,\N,10/20/1971,11/5/1971,11/28/1971,,,,
251,131,1972,10/8/1972,\N,10/29/1972,11/8/1972,11/19/1972,,,,
252,131,1973,10/14/1973,\N,10/23/1973,11/3/1973,11/17/1973,,,,
253,131,1974,10/3/1974,\N,10/5/1974,10/28/1974,12/2/1974,snowmachine,,,
254,131,1975,10/24/1975,\N,10/31/1975,10/26/1975,10/27/1975,snowmachine,,,
255,131,1977,10/30/1977,\N,10/31/1977,11/15/1977,11/20/1977,snowmachine,,,
256,131,1978,11/3/1978,\N,11/3/1978,11/20/1978,11/25/1978,snowmachine,,,
257,500,1961,10/9/1961,\N,\N,\N,\N,,,,
258,501,1990,10/4/1990,\N,\N,\N,\N,,,,
259,501,1992,9/23/1992,\N,9/23/1992,\N,\N,,,,
260,501,1993,10/22/1993,\N,11/18/1993,\N,12/11/1993,snowmachine,,,
261,501,1994,10/23/1994,\N,10/23/1994,\N,11/10/1994,snowmachine,,,
262,133,1951,10/15/1951,\N,\N,11/14/1951,\N,,,,
263,133,1952,11/14/1952,\N,\N,\N,\N,,,,
264,133,1954,11/8/1954,\N,\N,11/28/1954,\N,,,,
265,133,1955,10/25/1955,\N,\N,\N,\N,,,,
266,133,1957,11/19/1957,\N,\N,\N,\N,,,,
267,133,1962,11/7/1962,\N,\N,\N,\N,,,,
268,133,1967,10/20/1967,\N,\N,\N,\N,,,,
269,502,1983,9/17/1983,\N,9/23/1983,9/28/1983,10/3/1983,snowmachine,,,
270,80,1972,12/15/1972,\N,12/15/1972,1/1/1972,1/1/1972,,,,
271,80,1973,10/6/1973,\N,10/26/1973,12/15/1973,12/15/1973,,,,
272,80,1974,11/25/1974,\N,11/25/1974,12/29/1974,1/4/1974,,,,
273,80,1975,10/22/1975,\N,10/24/1975,11/30/1975,12/7/1975,snowmachine,,,
274,80,1979,12/14/1979,\N,11/8/1979,12/16/1979,12/18/1979,snowmachine,,,
275,80,1981,1/5/1981,\N,11/13/1981,1/3/1981,1/3/1981,snowmachine,,,
276,503,1979,10/28/1979,\N,10/30/1979,\N,\N,,,,
277,504,1994,10/14/1994,\N,\N,\N,\N,,,,
278,88,1938,\N,\N,\N,11/10/1938,\N,,,,
279,88,1940,\N,\N,\N,11/7/1940,\N,,,,
280,88,1949,10/21/1949,\N,\N,11/29/1949,11/15/1949,,,,
281,88,1950,10/18/1950,\N,\N,11/10/1950,11/10/1950,,,,
282,88,1951,10/22/1951,\N,\N,11/3/1951,11/3/1951,,,,
283,88,1952,11/25/1952,\N,\N,1/7/1952,1/7/1952,,,,
284,88,1953,10/26/1953,\N,\N,12/4/1953,12/10/1953,,,,
285,88,1955,10/27/1955,\N,\N,10/30/1955,11/2/1955,,,,
286,88,1956,10/21/1956,\N,\N,\N,12/10/1956,,,,
287,88,1958,10/7/1958,\N,\N,11/30/1958,12/5/1958,,,,
288,88,1960,11/28/1960,\N,\N,\N,\N,,,,
289,88,1963,11/2/1963,\N,\N,11/12/1963,\N,,,,
290,88,1964,11/13/1964,\N,\N,11/20/1964,11/20/1964,,,,
291,88,1965,11/4/1965,\N,\N,11/6/1965,11/4/1965,plane,,,
292,88,1967,11/25/1967,\N,\N,11/30/1967,1/12/1967,,,,
293,411,2001,10/8/2001,\N,10/12/2001,10/18/2001,11/7/2001,snowmachine,,,
294,411,2002,10/22/2002,\N,10/12/2002,11/2/2002,11/16/2002,snowmachine,,,
295,410,2001,10/14/2001,\N,\N,10/21/2001,\N,,,,
296,505,2001,10/14/2001,\N,\N,10/21/2001,\N,,,,
297,506,2001,10/14/2001,\N,\N,10/21/2001,\N,,,,
298,507,2001,10/14/2001,\N,\N,10/21/2001,\N,,,,
299,89,1939,\N,\N,\N,11/25/1939,\N,,,,
300,89,1940,\N,\N,\N,11/5/1940,\N,,,,
301,89,1941,\N,\N,\N,11/2/1941,\N,,,,
302,89,1943,\N,\N,\N,12/10/1943,\N,,,,
303,89,1944,\N,\N,\N,11/12/1944,\N,,,,
304,89,1945,\N,\N,\N,11/18/1945,\N,,,,
305,89,1972,10/16/1972,\N,\N,11/22/1972,12/2/1972,pickup,,,
306,89,1973,10/16/1973,\N,\N,11/1/1973,11/20/1973,pickup,,,
307,89,1974,10/25/1974,\N,1/10/1974,11/27/1974,12/23/1974,pickup,,,
308,89,1975,10/25/1975,\N,11/10/1975,11/27/1975,12/23/1975,pickup,,,
309,89,1979,10/16/1979,\N,11/26/1979,12/10/1979,12/20/1979,pickup,,,
310,89,1990,10/5/1990,\N,10/16/1990,\N,\N,,,,
311,89,1992,9/30/1992,\N,10/1/1992,12/15/1992,12/20/1992,snowmachine,,,
312,89,1993,10/21/1993,\N,\N,\N,12/7/1993,snowmachine,,,
313,89,1996,10/11/1996,\N,10/1/1996,\N,11/16/1996,snowmachine,,,
314,89,1997,10/26/1997,\N,10/21/1997,11/12/1997,11/7/1997,snowmachine,,,
315,89,1998,10/2/1998,\N,10/15/1998,11/14/1998,11/14/1998,snowmachine,,,
316,89,1999,10/10/1999,\N,10/17/1999,11/27/1999,11/24/1999,snowmachine,,,
317,89,2000,10/4/2000,\N,10/21/2000,12/21/2000,12/16/2000,snowmachine,,,
318,89,2001,10/13/2001,\N,10/18/2001,10/29/2001,10/28/2001,snowmachine,,,
319,142,1957,12/8/1957,\N,\N,12/18/1957,\N,,,,
320,142,1958,10/21/1958,\N,\N,1/3/1958,1/6/1958,,,,
321,142,1997,12/15/1997,\N,\N,\N,\N,,,,
322,143,1987,11/29/1987,\N,\N,\N,\N,,,,
323,143,1998,11/24/1998,\N,\N,\N,\N,,,,
324,143,1999,11/3/1999,\N,\N,\N,\N,,,,
325,143,2000,12/1/2000,\N,\N,\N,\N,,,,
326,93,1949,10/20/1949,\N,\N,12/21/1949,\N,,,,
327,93,1950,10/15/1950,\N,\N,11/10/1950,11/20/1950,snowmachine,,,
328,93,1951,10/1/1951,\N,\N,12/10/1951,12/10/1951,snowmachine,,,
329,93,1952,10/20/1952,\N,\N,12/2/1952,12/10/1952,snowmachine,,,
330,93,1953,10/20/1953,\N,\N,11/10/1953,12/1/1953,snowmachine,,,
331,93,1960,10/15/1960,\N,\N,11/2/1960,\N,,,,
332,93,1966,10/20/1966,\N,\N,11/20/1966,12/5/1966,snowmachine,,,
333,93,1972,11/1/1972,\N,\N,\N,\N,,,,
334,93,1973,\N,\N,\N,11/18/1973,11/18/1973,snowmachine,,,
335,93,1974,\N,\N,\N,11/20/1974,11/20/1974,snowmachine,,,
336,93,1977,10/22/1977,\N,\N,11/25/1977,11/25/1977,snowmachine,,,
337,93,1978,12/10/1978,\N,\N,12/1/1978,\N,,,,
338,93,1979,10/16/1979,\N,11/26/1979,12/10/1979,12/10/1979,snowmachine,,,
339,93,1990,10/14/1990,\N,10/16/1990,\N,\N,,,,
340,93,1992,9/30/1992,\N,10/1/1992,12/20/1992,12/20/1992,snowmachine,,,
341,93,1993,10/21/1993,\N,\N,1/5/1993,1/9/1993,snowmachine,,,
342,93,1997,10/26/1997,\N,10/21/1997,12/7/1997,12/5/1997,snowmachine,,,
343,93,1998,10/2/1998,\N,10/12/1998,11/24/1998,11/24/1998,snowmachine,,,
344,93,2000,10/3/2000,\N,10/19/2000,1/9/2000,1/9/2000,snowmachine,,,
345,93,2001,10/13/2001,\N,10/16/2001,12/12/2001,12/8/2001,snowmachine,,,
346,254,1979,11/4/1979,\N,11/1/1979,12/10/1979,12/15/1979,airplane,,,
347,254,1981,10/30/1981,\N,10/27/1981,11/5/1981,11/20/1981,airplane,,,
348,254,1982,10/20/1982,\N,10/20/1982,10/25/1982,11/1/1982,airplane,,,
349,254,1985,10/22/1985,\N,10/24/1985,10/27/1985,10/30/1985,three wheeler,,,
350,254,1992,\N,\N,\N,10/31/1992,\N,,,,
351,254,1993,\N,\N,\N,\N,\N,,, nov 4 bay ice free again bay refroze nov. 19th. (entire bay area),
352,254,1994,10/26/1994,\N,10/27/1994,10/29/1994,10/31/1994,snowmachine,,,
353,508,1974,9/27/1974,\N,10/2/1974,10/22/1974,11/21/1974,jeep,,,
354,508,1975,10/8/1975,\N,10/18/1975,11/6/1975,11/16/1975,jeep,,,
355,508,1977,10/14/1977,\N,10/19/1977,10/24/1977,10/28/1977,snowmachine,,,
356,508,1978,10/2/1978,\N,10/7/1978,11/9/1978,11/12/1978,snowmachine,,,
357,148,1973,11/15/1973,\N,\N,12/1/1973,12/5/1973,snowmachine,,,
358,148,1974,12/15/1974,\N,12/14/1974,1/10/1974,1/10/1974,snowmachine,,,
359,148,1975,11/8/1975,\N,11/7/1975,12/1/1975,12/12/1975,snowmachine,,,
